Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 2/13/2025; downloaded 3/24/2025.,,
Data was truncated to the first two columns for file size purposes.,,
It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations.,,
,,
CAS Reg No (or other ID),Substance,Used for (Technical Effect)
 105-43-1, 3-METHYLPENTANOIC ACID, FLAVORING AGENT OR ADJUVANT
 646-07-1, 4-METHYLPENTANOIC ACID, FLAVORING AGENT OR ADJUVANT
 589-35-5, 3-METHYL-1-PENTANOL, FLAVORING AGENT OR ADJUVANT
 23550-40-5, 4-(METHYLTHIO)-4-METHYL-2-PENTANONE, FLAVORING AGENT OR ADJUVANT
 623-36-9, 2-METHYL-2-PENTENAL, FLAVORING AGENT OR ADJUVANT
 5362-56-1, 4-METHYL-2-PENTENAL, FLAVORING AGENT OR ADJUVANT
 818-57-5, METHYL 4-PENTENOATE, FLAVORING AGENT OR ADJUVANT
 3142-72-1, 2-METHYL-2-PENTENOIC ACID, FLAVORING AGENT OR ADJUVANT
 37674-63-8, 2-METHYL-3-PENTENOIC ACID, FLAVORING AGENT OR ADJUVANT
 1575-74-2, 2-METHYL-4-PENTENOIC ACID, FLAVORING AGENT OR ADJUVANT
 10321-71-8, 4-METHYLPENT-2-ENOIC ACID, FLAVORING AGENT OR ADJUVANT
 3744-02-3, 4-METHYL-4-PENTEN-2-ONE, FLAVORING AGENT OR ADJUVANT
 141-79-7, 4-METHYL-3-PENTEN-2-ONE, FLAVORING AGENT OR ADJUVANT
 1599-49-1," 4-METHYL-2-PENTYL-1,3-DIOXOLANE", FLAVORING AGENT OR ADJUVANT
 850309-45-4, 4-METHYLPENTYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 1123-85-9, BETA-METHYLPHENETHYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 68922-11-2, ALPHA-METHYLPHENETHYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 3558-60-9, METHYL PHENETHYL ETHER, FLAVORING AGENT OR ADJUVANT
 101-41-7, METHYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 103-05-9, 2-METHYL-4-PHENYL-2-BUTANOL, FLAVORING AGENT OR ADJUVANT
 1901-26-4, 3-METHYL-4-PHENYL-3-BUTENE-2-ONE, FLAVORING AGENT OR ADJUVANT
 103-07-1, 2-METHYL-4-PHENYL-2-BUTYL ACETATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 10031-71-7, 2-METHYL-4-PHENYL-2-BUTYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 40654-82-8, 2-METHYL-4-PHENYLBUTYRALDEHYDE, FLAVORING AGENT OR ADJUVANT
 2439-44-3, 3-METHYL-2-PHENYLBUTYRALDEHYDE, FLAVORING AGENT OR ADJUVANT
 2046-17-5, METHYL 4-PHENYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 14173-25-2, METHYL PHENYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 37161-74-3, METHYL BETA-PHENYLGLYCIDATE, FLAVORING AGENT OR ADJUVANT
 77-83-8, 3-METHYL-3-PHENYL GLYCIDIC ACID ETHYL ESTER, FLAVORING AGENT OR ADJUVANT
 21834-92-4, 5-METHYL-2-PHENYL-2-HEXENAL, FLAVORING AGENT OR ADJUVANT
 5349-62-2, 4-METHYL-1-PHENYL-2-PENTANONE, FLAVORING AGENT OR ADJUVANT
 26643-91-4, 4-METHYL-2-PHENYL-2-PENTENAL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 103-25-3, METHYL 3-PHENYLPROPIONATE, FLAVORING AGENT OR ADJUVANT
 100-68-5, METHYL PHENYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 109-05-7, 2-METHYLPIPERIDINE, FLAVORING AGENT OR ADJUVANT
 9004-73-3, METHYLPOLYSILICONE, LUBRICANT OR RELEASE AGENT
 67952-60-7, 2-METHYL-2-(METHYLDITHIO)PROPANAL, FLAVORING AGENT OR ADJUVANT
 5925-75-7, S-METHYL PROPANETHIOATE, FLAVORING AGENT OR ADJUVANT
 513-44-0, 2-METHYL-1-PROPANETHIOL, FLAVORING AGENT OR ADJUVANT
 5905-47-5, METHYL PROPENYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 10152-77-9, METHYL 1-PROPENYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 103-95-7, 2-METHYL-3-(P-ISOPROPYLPHENYL) PROPIONALDEHYDE, FLAVORING AGENT OR ADJUVANT
 554-12-1, METHYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 3720-16-9, 3-METHYL-5-PROPYL-2-CYCLOHEXEN-1-ONE, FLAVORING AGENT OR ADJUVANT
 2179-60-4, METHYL PROPYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 589-59-3, 2-METHYLPROPYL-3-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 67715-80-4," 2-METHYL-4-PROPYL-1,3-OXATHIANE", FLAVORING AGENT OR ADJUVANT
 1064678-08-5," (+/-)-4-METHYL-2-PROPYL-1,3-OXATHIANE", FLAVORING AGENT OR ADJUVANT
 6304-24-1, 2-(2-METHYLPROPYL)PYRIDINE, FLAVORING AGENT OR ADJUVANT
 14159-61-6, 3-(2-METHYLPROPYL)PYRIDINE, FLAVORING AGENT OR ADJUVANT
 18277-27-5, 2-(1-METHYLPROPYL)THIAZOLE, FLAVORING AGENT OR ADJUVANT
 17619-36-2, METHYL PROPYL TRISULFIDE, FLAVORING AGENT OR ADJUVANT
 109-08-0, 2-METHYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 1072-83-9, METHYL 2-PYRROLYL KETONE, FLAVORING AGENT OR ADJUVANT
 91-62-3, 6-METHYLQUINOLINE, FLAVORING AGENT OR ADJUVANT
 13708-12-8, 5-METHYLQUINOXALINE, FLAVORING AGENT OR ADJUVANT
 119-36-8, METHYL SALICYLATE, FLAVORING AGENT OR ADJUVANT
 689-89-4, METHYL SORBATE, FLAVORING AGENT OR ADJUVANT
 75-18-3, METHYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 3549-23-3, METHYL P-TERT-BUTYLPHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 3188-00-9, 2-METHYLTETRAHYDROFURAN-3-ONE, FLAVORING AGENT OR ADJUVANT
 57124-87-5, 2-METHYL-3-TETRAHYDROFURANTHIOL, FLAVORING AGENT OR ADJUVANT
 252736-41-7, (+/-)-2-METHYLTETRAHYDROFURAN-3-THIOL ACETATE, FLAVORING AGENT OR ADJUVANT
 34545-88-5," 7-METHYL-4,4A,5,6-TETRAHYDRO-2(3H)-NAPHTHALENONE", FLAVORING AGENT OR ADJUVANT
 13679-85-1, 2-METHYLTETRAHYDROTHIOPHEN-3-ONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 693-95-8, 4-METHYLTHIAZOLE, FLAVORING AGENT OR ADJUVANT
 137-00-8, 4-METHYL-5-THIAZOLEETHANOL, FLAVORING AGENT OR ADJUVANT
 656-53-1, 4-METHYL-5-THIAZOLEETHANOL ACETATE, FLAVORING AGENT OR ADJUVANT
 52558-99-3, 4-METHYL-3-THIAZOLINE, FLAVORING AGENT OR ADJUVANT
 94159-31-6, 2-(4-METHYL-5-THIAZOLYL)ETHYL BUTANOATE, FLAVORING AGENT OR ADJUVANT
 101426-31-7, 2-(4-METHYL-5-THIAZOLYL)ETHYL DECANOATE, FLAVORING AGENT OR ADJUVANT
 90731-56-9, 2-(4-METHYL-5-THIAZOLYL)ETHYL FORMATE, FLAVORING AGENT OR ADJUVANT
 94159-32-7, 2-(4-METHYL-5-THIAZOLYL)ETHYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 94021-42-8, 2-(4-METHYL-5-THIAZOLYL)ETHYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 163266-17-9, 2-(4-METHYL-5-THIAZOLYL)ETHYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 324742-96-3, 2-(4-METHYL-5-THIAZOLYL)ETHYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 23328-62-3, 2-METHYLTHIOACETALDEHYDE, FLAVORING AGENT OR ADJUVANT
 1534-08-3, S-METHYL THIOACETATE, FLAVORING AGENT OR ADJUVANT
 26486-14-6," 2-METHYL-3-THIOACETOXY-4,5-DIHYDROFURAN", FLAVORING AGENT OR ADJUVANT
 74586-09-7, METHYLTHIO 2-(ACETYLOXY)PROPIONATE, FLAVORING AGENT OR ADJUVANT
 16630-52-7, 3-(METHYLTHIO)BUTANAL, FLAVORING AGENT OR ADJUVANT
 20582-85-8, 4-(METHYLTHIO)BUTANOL, FLAVORING AGENT OR ADJUVANT
 53475-15-3, 3-(METHYLTHIO)-2-BUTANONE, FLAVORING AGENT OR ADJUVANT
 13678-58-5, 1-(METHYLTHIO)-2-BUTANONE, FLAVORING AGENT OR ADJUVANT
 34047-39-7, 4-(METHYLTHIO)-2-BUTANONE, FLAVORING AGENT OR ADJUVANT
 4430-36-8, 4-(METHYLTHIO)BUTYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 2432-51-1, METHYL THIOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 68697-67-6," 1-(3-(METHYLTHIO)-BUTYRYL)-2,6,6-TRIMETHYLCYCLOHEXENE", FLAVORING AGENT OR ADJUVANT
 5271-38-5, 2-(METHYLTHIO)ETHANOL, FLAVORING AGENT OR ADJUVANT
 5862-47-5, 2-(METHYLTHIO)ETHYL ACETATE, FLAVORING AGENT OR ADJUVANT
 13679-61-3, METHYL 2-THIOFUROATE, FLAVORING AGENT OR ADJUVANT
 51755-70-5, (+/-)-3-(METHYLTHIO)HEPTANAL, FLAVORING AGENT OR ADJUVANT
 51755-66-9, 3-(METHYLTHIO)-1-HEXANOL, FLAVORING AGENT OR ADJUVANT
 38433-74-8, 3-METHYLTHIOHEXENAL, FLAVORING AGENT OR ADJUVANT
 51755-85-2, 3-(METHYLTHIO)HEXYL ACETATE, FLAVORING AGENT OR ADJUVANT
 4430-39-1, 6-(METHYLTHIO)HEXYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 40878-72-6, 2-((METHYLTHIO)METHYL)-2-BUTENAL, FLAVORING AGENT OR ADJUVANT
 74758-93-3, METHYLTHIOMETHYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 74758-91-1, METHYLTHIOMETHYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 29414-47-9, METHYLTHIOMETHYLMERCAPTAN, FLAVORING AGENT OR ADJUVANT
 65887-08-3, 2-(METHYLTHIOMETHYL)-3-PHENYLPROPENAL, FLAVORING AGENT OR ADJUVANT
 61675-72-7, 3-(METHYLTHIO)METHYLTHIOPHENE, FLAVORING AGENT OR ADJUVANT
 61837-77-2, 1-(METHYLTHIO)-3-OCTANONE, FLAVORING AGENT OR ADJUVANT
 583-92-6, 4-(METHYLTHIO)-2-OXOBUTANOIC ACID, FLAVORING AGENT OR ADJUVANT
 143764-28-7, 4-(METHYLTHIO)-2-PENTANONE, FLAVORING AGENT OR ADJUVANT
 4430-42-6, 5-(METHYLTHIO)PENTYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 13679-70-4, 5-METHYL-2-THIOPHENECARBOXALDEHYDE, FLAVORING AGENT OR ADJUVANT
 1073-29-6, O-(METHYLTHIO)PHENOL, FLAVORING AGENT OR ADJUVANT
 14109-72-9, 1-METHYLTHIO-2-PROPANONE, FLAVORING AGENT OR ADJUVANT
 3268-49-3, 3-(METHYLTHIO)PROPIONALDEHYDE, FLAVORING AGENT OR ADJUVANT
 977161-96-8, METHYLTHIO 2-(PROPIONYLOXY)PROPIONATE, FLAVORING AGENT OR ADJUVANT
 16630-55-0, 3-(METHYLTHIO)PROPYL ACETATE, FLAVORING AGENT OR ADJUVANT
 4104-45-4, 3-(METHYLTHIO)PROPYLAMINE, FLAVORING AGENT OR ADJUVANT
 906079-63-8, 3-(METHYLTHIO)PROPYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 505-79-3, 3-METHYLTHIOPROPYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 852997-30-9, 3-(METHYLTHIO)PROPYL MERCAPTOACETATE, FLAVORING AGENT OR ADJUVANT
 977044-51-1," 2-METHYL-3-TOLYLPROPIONALDEHYDE (MIXED O-, M-, P-)", FLAVORING AGENT OR ADJUVANT
 75853-49-5, 12-METHYLTRIDECANAL, FLAVORING AGENT OR ADJUVANT
 43040-01-3," 3-METHYL-1,2,4-TRITHIANE", FLAVORING AGENT OR ADJUVANT
 110-41-8, 2-METHYLUNDECANAL, FLAVORING AGENT OR ADJUVANT
 111-81-9, METHYL 10-UNDECENOATE, FLAVORING AGENT OR ADJUVANT
 5760-50-9, METHYL 9-UNDECENOATE, FLAVORING AGENT OR ADJUVANT
 10522-18-6, METHYL 2-UNDECYNOATE, FLAVORING AGENT OR ADJUVANT
 624-24-8, METHYL VALERATE, FLAVORING AGENT OR ADJUVANT
 97-61-0, 2-METHYLVALERIC ACID, FLAVORING AGENT OR ADJUVANT
 13925-08-1, 2-METHYL-5-VINYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 67920-63-2, (+/-)-2-(5-METHYL-5-VINYLTETRAHYDROFURAN-2-YL)PROPIONALDEHYDE, FLAVORING AGENT OR ADJUVANT
 1759-28-0, 4-METHYL-5-VINYLTHIAZOLE, FLAVORING AGENT OR ADJUVANT
 12001-26-2, MICA, COLOR OR COLORING ADJUNCT
 92457-18-6," MICHELIA ALBA, EXTRACT", FLAVORING AGENT OR ADJUVANT
 977132-83-4, MICROPARTICULATED PROTEIN PRODUCT, NUTRIENT SUPPLEMENT
 977183-89-3," MILK CLOTTING ENZYME, ASPERGILLUS ORYZAE RECOMBINANT", ENZYME
 977017-74-5, MILK CLOTTING ENZYME FROM BACILLUS CEREUS (FRANKLAND AND FRANKLAND), ENZYME
 977017-73-4, MILK CLOTTING ENZYME FROM ENDOTHIA PARASITICA, ENZYME
 977017-76-7, MILK CLOTTING ENZYME FROM MUCOR MIEHEI COONEY ET EMERSON,
 977017-75-6, MILK CLOTTING ENZYME FROM MUCOR PUSILLUS L., ENZYME
 977053-44-3," MILK POWDER, WHOLE, ENZYME-MODIFIED"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> HUMECTANT,<br /> MALTING OR FERMENTING AID,<br /> NUTRIENT SUPPLEMENT,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
 977092-60-6," MIMOSA, ABSOLUTE (ACACIA DECURRENS WILLD. VAR. DEALBATA)", FLAVORING AGENT OR ADJUVANT
 977184-00-1, MIMOSA CONCRETE (ACACIA DECURRENS WILLD. VAR. DEALBATA), FLAVORING AGENT OR ADJUVANT
 8012-95-1," MINERAL OIL, WHITE"," FORMULATION AID,<br /> LUBRICANT OR RELEASE AGENT,<br /> PROCESSING AID,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> SURFACE-FINISHING AGENT,<br /> TEXTURIZER"
 13341-72-5, MINTLACTONE, FLAVORING AGENT OR ADJUVANT
 977187-86-2, MIXTURE OF BUTYL PROPYL DISULFIDE AND PROPYL AND BUTYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 977083-12-7," MOLASSES, CONCENTRATE", FLAVORING AGENT OR ADJUVANT
 977091-60-3," MOLASSES, EXTRACT (SACCHARUM OFFICINARUM L.)", FLAVORING AGENT OR ADJUVANT
 977001-99-2, MOLASSES (SACCHARUM OFFICINARUM L.), NUTRITIVE SWEETENER
 68954-24-5, MOLECULAR SIEVE RESINS, PROCESSING AID
 67254-73-3, MONO- AND DIGLYCERIDES," EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LUBRICANT OR RELEASE AGENT,<br /> MASTICATORY SUBSTANCE,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER"
 977093-26-7," MONO- AND DIGLYCERIDES, ACETIC ACID ESTERS AND SODIUM AND CALCIUM SALTS", EMULSIFIER OR EMULSIFIER SALT
 977093-27-8," MONO- AND DIGLYCERIDES, ACETYLTARTARIC ACID ESTERS AND SODIUM AND CALCIUM SALTS"," EMULSIFIER OR EMULSIFIER SALT,<br /> TEXTURIZER"
 977093-28-9," MONO- AND DIGLYCERIDES, CITRIC ACID ESTERS AND SODIUM AND CALCIUM SALTS", EMULSIFIER OR EMULSIFIER SALT
 977051-29-8," MONO- AND DIGLYCERIDES, DIACETYLTARTARIC ACID ESTERS"," EMULSIFIER OR EMULSIFIER SALT,<br /> TEXTURIZER"
 61163-33-5," MONO- AND DIGLYCERIDES, ETHOXYLATED"," DOUGH STRENGTHENER,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> LEAVENING AGENT"
 977093-29-0," MONO- AND DIGLYCERIDES, LACTIC ACID ESTERS AND SODIUM AND CALCIUM SALTS", EMULSIFIER OR EMULSIFIER SALT
 977051-32-3," MONO- AND DIGLYCERIDES, MONOSODIUM PHOSPHATE DERIVATIVES"," EMULSIFIER OR EMULSIFIER SALT,<br /> LEAVENING AGENT,<br /> LUBRICANT OR RELEASE AGENT,<br /> SURFACE-ACTIVE AGENT"
 977052-47-3," MONO- AND DIGLYCERIDES, SODIUM SULFOACETATE DERIVATIVES", FLAVORING AGENT OR ADJUVANT
 79-11-8, MONOCHLOROACETIC ACID--PROHIBITED WITH EXCEPTIONS, ANTIMICROBIAL AGENT
 977012-39-7," MONO-, DI-, AND TRIGLYCERIDES", SOLVENT OR VEHICLE
 141-43-5, MONOETHANOLAMINE, WASHING OR SURFACE REMOVAL AGENT
 36291-32-4, MONOGLYCERIDE CITRATE," ANTIOXIDANT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> SEQUESTRANT,<br /> SYNERGIST"
 977051-34-5," MONOGLYCERIDES, ACETYLATED"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> COLOR OR COLORING ADJUNCT,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID,<br /> HUMECTANT,<br /> LUBRICANT OR RELEASE AGENT,<br /> MASTICATORY SUBSTANCE,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT"
 1321-57-9, MONOISOPROPYL CITRATE," FORMULATION AID,<br /> SEQUESTRANT,<br /> SYNERGIST"
 220621-22-7," MONOMENTHYL GLUTARATE, L-", FLAVORING AGENT OR ADJUVANT
 77341-67-4, MONOMENTHYL SUCCINATE, FLAVORING AGENT OR ADJUVANT
 977093-49-4," MONTAN WAX FATTY ACIDS, OXIDATIVELY REFINED, POLYHYDRIC ALCOHOL DIESTERS", SURFACE-FINISHING AGENT
 110-91-8, MORPHOLINE, BOILER WATER ADDITIVE
 977034-72-2," MORPHOLINE, FATTY ACID SALTS", SURFACE-FINISHING AGENT
 977048-48-8, MOUNTAIN MAPLE (ACER SPICATUM LAM.), FLAVORING AGENT OR ADJUVANT
 977089-64-7, MOUNTAIN MAPLE BARK (ACER SPICATUM LAM.), FLAVORING AGENT OR ADJUVANT
 977089-65-8," MOUNTAIN MAPLE, EXTRACT SOLID (ACER SPICATUM LAM.)", FLAVORING AGENT OR ADJUVANT
 977048-46-6, MULLEIN FLOWERS (VERBASCUM SPP.), FLAVORING AGENT OR ADJUVANT
 68917-13-5," MUSHROOM OIL, DISTILLED", FLAVORING AGENT OR ADJUVANT
 83-66-9, MUSK AMBRETTE--NLFG, FLAVORING AGENT OR ADJUVANT
 81-14-1," MUSK, KETONE", FLAVORING AGENT OR ADJUVANT
 8001-04-5, MUSK TONQUIN (MOSCHUS MOSCHIFERUS L.), FLAVORING AGENT OR ADJUVANT
 977091-79-4," MUSTARD, BROWN, EXTRACT (BRASSICA SPP.)", FLAVORING AGENT OR ADJUVANT
 977071-79-6, MUSTARD FLOUR," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-FINISHING AGENT,<br /> TEXTURIZER"
 977088-95-1," MUSTARD, ORIENTAL", FLAVORING AGENT OR ADJUVANT
 977091-80-7," MUSTARD, YELLOW, EXTRACT (BRASSICA SPP.)", FLAVORING AGENT OR ADJUVANT
 24202-00-4, MYRCENYL METHYL ETHER, FLAVORING AGENT OR ADJUVANT
 17912-87-7, MYRICITRIN, FLAVORING AGENT OR ADJUVANT
 124-25-4, MYRISTALDEHYDE, FLAVORING AGENT OR ADJUVANT
 544-63-8, MYRISTIC ACID," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LUBRICANT OR RELEASE AGENT,<br /> SURFACE-ACTIVE AGENT"
 112-72-1, MYRISTYL ALCOHOL," FORMULATION AID,<br /> LUBRICANT OR RELEASE AGENT"
 100084-96-6," MYRRH, EXTRACT", FLAVORING AGENT OR ADJUVANT
 9000-45-7," MYRRH, GUM (COMMIPHORA SPP.)", FLAVORING AGENT OR ADJUVANT
 8016-37-3," MYRRH, OIL (COMMIPHORA SPP.)", FLAVORING AGENT OR ADJUVANT
 515-00-4, MYRTENOL, FLAVORING AGENT OR ADJUVANT
 1079-01-2, MYRTENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 977070-85-1, MYRTLE LEAVES (MYRTUS COMMUNIS L.), FLAVORING AGENT OR ADJUVANT
 8008-46-6," MYRTLE, OIL (MYRTUS COMMUNIS L.)", FLAVORING AGENT OR ADJUVANT
 977126-64-9, NAPHTHA, SOLVENT OR VEHICLE
 91-60-1, 2-NAPHTHALENTHIOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 63449-68-3, BETA-NAPHTHYL ANTHRANILATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 93-18-5, BETA-NAPHTHYL ETHYL ETHER," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 2173-57-1, BETA-NAPHTHYL ISOBUTYL ETHER," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 93-04-9, BETA-NAPHTHYL METHYL ETHER, FLAVORING AGENT OR ADJUVANT
 18916-17-1, NARINGIN DIHYDROCHALCONE, FLAVORING AGENT OR ADJUVANT
 977038-87-1," NARINGIN, EXTRACT (CITRUS PARADISI MACF.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 7681-93-8, NATAMYCIN, FUMIGANT
 8006-14-2, NATURAL GAS, SURFACE-FINISHING AGENT
 51115-77-6," N-(1,1-DIMETHYL-2-HYDROXYETHYL)-2,2-DIETHYLBUTANAMIDE", FLAVORING AGENT OR ADJUVANT
 20702-77-6, NEOHESPERIDIN DIHYDROCHALCONE, FLAVORING AGENT OR ADJUVANT
 2216-52-6, D-NEOMENTHOL, FLAVORING AGENT OR ADJUVANT
 165450-17-9, NEOTAME," FLAVOR ENHANCER,<br /> NON-NUTRITIVE SWEETENER"
 106-25-2, NEROL, FLAVORING AGENT OR ADJUVANT
 8016-38-4," NEROLI, BIGARADE OIL (CITRUS AURANTIUM L.)", FLAVORING AGENT OR ADJUVANT
 7212-44-4, NEROLIDOL, FLAVORING AGENT OR ADJUVANT
 1424-83-5, NEROLIDOL OXIDE, FLAVORING AGENT OR ADJUVANT
 141-12-8, NERYL ACETATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 999-40-6, NERYL BUTYRATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 2142-94-1, NERYL FORMATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 2345-24-6, NERYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 3915-83-1, NERYL ISOVALERATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 105-91-9, NERYL PROPIONATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 51115-70-9," N-ETHYL-2,2-DIISOPROPYLBUTANAMIDE", FLAVORING AGENT OR ADJUVANT
 883215-02-9," N-(2-HYDROXYETHYL)-2,3-DIMETHYL-2-ISOPROPYLBUTANAMIDE", FLAVORING AGENT OR ADJUVANT
 1987-71-9, NICOTINAMIDE-ASCORBIC ACID COMPLEX, NUTRIENT SUPPLEMENT
 977011-49-6, NIGER GUTTA (FICUS PLATYPHYLLA DEL.), MASTICATORY SUBSTANCE
 977127-33-5, NISIN PREPARATION, ANTIMICROBIAL AGENT
 12002-12-9, NISPERO, MASTICATORY SUBSTANCE
 977124-88-1," NITRATES, SODIUM & POTASSIUM"," ANTIMICROBIAL AGENT,<br /> COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROPELLANT"
 977124-89-2," NITRITES, SODIUM & POTASSIUM"," ANTIMICROBIAL AGENT,<br /> ANTIOXIDANT,<br /> COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROPELLANT"
 977099-25-4, NITROGEN OXIDES, PROPELLANT
 2696-92-6, NITROSYL CHLORIDE,
 10024-97-2, NITROUS OXIDE," FLAVOR ENHANCER,<br /> PROPELLANT"
 781674-18-8, (+/-)-N-LACTOYLTYRAMINE, FLAVORING AGENT OR ADJUVANT
 6750-03-4," 2,4-NONADIENAL", FLAVORING AGENT OR ADJUVANT
 17587-33-6, 2-TRANS-6-TRANS-NONADIENAL, FLAVORING AGENT OR ADJUVANT
 106950-34-9," 2,6-NONADIENAL DIETHYL ACETAL", FLAVORING AGENT OR ADJUVANT
 62488-56-6," 2,4-NONADIEN-1-OL", FLAVORING AGENT OR ADJUVANT
 7786-44-9," 2,6-NONADIEN-1-OL", FLAVORING AGENT OR ADJUVANT
 56805-23-3, (E)-3-(Z)-6-NONADIEN-1-OL, FLAVORING AGENT OR ADJUVANT
 53046-97-2," (Z)(Z)-3,6-NONADIEN-1-OL", FLAVORING AGENT OR ADJUVANT
 68555-65-7," (E,Z)-2,6-NONADIEN-1-OL ACETATE", FLAVORING AGENT OR ADJUVANT
 211323-05-6," (E,Z)-3,6-NONADIEN-1-OL ACETATE", FLAVORING AGENT OR ADJUVANT
 83334-93-4," CIS,CIS-3,6-NONADIENYL ACETATE", FLAVORING AGENT OR ADJUVANT
 104-61-0, GAMMA-NONALACTONE, FLAVORING AGENT OR ADJUVANT
 124-19-6, NONANAL, FLAVORING AGENT OR ADJUVANT
 18824-63-0, NONANAL DIMETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 68391-39-9, NONANAL PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 1322-17-4," 1,3-NONANEDIOL ACETATE (MIXED ESTERS)", FLAVORING AGENT OR ADJUVANT
 67715-81-5," 1,4-NONANEDIOL DIACETATE", FLAVORING AGENT OR ADJUVANT
 3489-28-9," 1,9-NONANEDITHIOL", FLAVORING AGENT OR ADJUVANT
 112-05-0, NONANOIC ACID, FLAVORING AGENT OR ADJUVANT
 628-99-9, 2-NONANOL, FLAVORING AGENT OR ADJUVANT
 821-55-6, 2-NONANONE, FLAVORING AGENT OR ADJUVANT
